código;produto;preço;estoque
0001;SabãoEmPó;5.90;100
0002;Detergente;1.55;100
0003;AguaSanitaria;1.00;100
0004;Esponja;0.46;100
0005;EsponjaDeAço;2.00;100
0007;Shampoo;5.00;100
0008;Condicionador;7.00;100
0009;CremeDePentear;4.44;100
0010;Hidratação;10.22;100
0011;CremeDePele;12.50;100
0012;EscovaDeDente;3.35;23
0012;PastaDeDente;1.22;123
0013;EscovaDeCabelo;11.22;1234
0014;Pente;6.76;123
0015;Absorvente;3.45;1092
0016;Fralda;46.50;345
0017;LimpaVidros;4.55;456
0018;Desinfetante;1.99;1234
0019;Sabonete;0.99;10234
0020;SaboneteLiquido;5.32;123
0021;Barbeador;0.54;1234
0022;Arroz;5.00;985
0023;ArrozIntegral;7.00;2345
0024;FeijãoTipoA;10.00;123
0025;FeijãoTipoB;12.25;1233
0026;FeijãoTipoC;9.57;120
0027;MilhoParaPipoca;1.22;100
0029;Amido;4.55;12
0030;FarinhaDeTrigo;2.00;124
0031;CarneDeBoi;44.40;1000
0032;Frango;20.00;1234
0033;Porco;34.98;123
0034;Macarrão;2.22;3456
0035;Hambuguer;12.34;129
0036;Peixe;11.99;1234
0037;Refrigerante;6.00;1456
0038;Vodka;40.00;1235
0039;Cerveja;10.00;1293
0040;ÁguaMineral;2.00;1002
0041;ÁguaQuaseMineral;0.56;1239
0042;Pão;12.00;10
0043;PapelHigienico;15.76;120
0044;Papel;10.34;192
0045;FarinhaDeMilho;0.99;456
0046;FarinhaDeTapioca;2.35;1374
0047;Banana;12.99;19
0048;Tomate;5.00;12
0049;Cebola;2.00;1
0050;Alho;34.76;1987
0051;Abacaxi;8.63;19
0052;Melancia;5.34;748
0053;Melão;3.67;19
0054;Cenoura;4.00;56
0055;Achocalatado;7.00;3456
0056;Açucar;32.44;90
0057;Adoçante;1.22;7869
0060;Atum;6.78;90
0061;Azeite;22.78;786
0062;BatataPalha;5.44;900
0063;Azeitona;3.44;345
0064;Baunilha;5.00;6777
0065;Biscoito;3.44;907
0066;Bombom;1.00;45
0067;Caldo;2.34;908
0068;Café;4.56;867
0069;Catchup;2.34;566
0070;Ceral;12.35;8932
0071;Champignon;12.56;8764
0071;Chocolate;5.72;896
0071;ChocolateBranco;4.34;90
0072;ChocolateGranulado;2.45;87
0073;CocoRalado;3.00;5432
0074;CremeDeLeite;4.67;89
0075;LeiteCondensado;7.00;654
0076;Fermento;0.34;876
0077;Gelatina;1.00;5643
0078;Leite;4.56;9092
0079;LeiteDeCoco;3.56;987
0080;Maioense;6.00;7484
0081;Molho;3.45;564
0082;Mostarda;2.45;8756
0083;Palmito;5.43;8
0084;Polvilho;3.21;90
0085;Sal;1.00;345
0086;Sardinha;4.56;76
0087;Tempero;1.00;8
0088;Vinagre;1.11;134
0089;Café;5.43;90
0090;Acabacate;2.00;0
0091;Agrião;2.34;4
0092;Chuchu;4.55;13
0093;Espinafre;5.66;98
0094;Goiaba;3.44;4
0095;Laranja;6.97;123
0096;Maçã;6.00;122
0097;Ovos;0.34;90
0098;Pimentão;1.23;4
0099;Repolho;2.00;45
0100;Uva;11.82;6
0101;Licor;21.45;10
0102;Bacon;13.40;100
0103;Chester;32.34;10
0104;FrutasSecas;13.45;12
0105;Iorgute;21.56;1034
0106;Linguiça;21.56;1
0107;Manteiga;10.00;102
0108;Margarina;3.22;12
0109;Queijo;34.00;12
0110;Presunto;21.34;1
0112;QuejoRalado;1.34;123
0113;Salame;21.00;13
0114;Ricota;4.23;134
0115;Bolo;25.32;0
0116;Bolacha;5.00;0
0117;Torta;60.00;2
0118;Salgados;50.00;8990
0119;Fósforo;0.56;234
0120;Velas;1.00;12
0121;PilhasAA;4.00;1256
0122;PilhasAAA;3.00;234
0123;Alcool70;5.43;0
0124;Alcool96;3.56;12349
0125;Alcool80;5.34;89
0126;Alvejante;2.35;984
0127;Amaciante;8.45;985
0128;Vassoura;10.00;123
0129;Pano;3.79;20
0130;Inseticida;4.23;1901
0131;Acetona;2.00;1234
0132;Algodão;3.00;12
0133;Talco;3.57;983
